Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
476,1620295611701,-0.09,-0.531,-0.545
477,1620295611701,-0.04,-0.571,-0.567
478,1620295611701,-0.07,-0.563,-0.531
479,1620295611701,0.08,-0.552,-0.6
480,1620295611701,-0.01,-0.599,-0.56
481,1620295611701,-0.09,-0.533,-0.534
482,1620295611701,0.0,-0.555,-0.573
483,1620295611701,-0.06,-0.566,-0.54
484,1620295611701,-0.01,-0.526,-0.541
485,1620295611701,0.01,-0.586,-0.571
486,1620295611702,-0.1,-0.521,-0.492
487,1620295611702,-0.01,-0.515,-0.551
488,1620295611702,-0.02,-0.527,-0.524
489,1620295611702,-0.06,-0.538,-0.553
490,1620295611702,0.02,-0.581,-0.586
491,1620295611702,-0.1,-0.553,-0.55
492,1620295611702,-0.03,-0.538,-0.561
493,1620295611702,0.01,-0.561,-0.551
494,1620295611702,-0.07,-0.56,-0.552
495,1620295611702,0.09,-0.566,-0.597
496,1620295611702,-0.1,-0.568,-0.553
497,1620295611702,-0.1,-0.537,-0.539
498,1620295611702,-0.04,-0.555,-0.549
499,1620295611702,-0.03,-0.557,-0.55
500,1620295611702,0.07,-0.552,-0.585
501,1620295611702,-0.01,-0.591,-0.562
502,1620295611702,-0.1,-0.538,-0.543
503,1620295611703,-0.04,-0.558,-0.563
504,1620295611703,-0.09,-0.543,-0.548
505,1620295611703,0.01,-0.545,-0.578
506,1620295611703,0.02,-0.598,-0.571
507,1620295611703,-0.1,-0.55,-0.542
508,1620295611703,0.0,-0.547,-0.568
509,1620295611703,-0.03,-0.567,-0.559
510,1620295611703,-0.02,-0.557,-0.568
511,1620295611704,0.01,-0.583,-0.579
512,1620295611704,-0.12,-0.55,-0.542
513,1620295611704,-0.01,-0.536,-0.562
514,1620295611704,-0.04,-0.56,-0.553
515,1620295611704,-0.07,-0.559,-0.559
516,1620295611704,0.07,-0.572,-0.591
517,1620295611704,-0.12,-0.559,-0.55
518,1620295611704,-0.09,-0.538,-0.549
519,1620295611704,-0.02,-0.57,-0.546
520,1620295611704,-0.07,-0.545,-0.55
521,1620295611704,0.07,-0.559,-0.591
522,1620295611704,-0.07,-0.58,-0.565
523,1620295611704,-0.05,-0.544,-0.55
524,1620295611704,-0.05,-0.566,-0.554
525,1620295611704,-0.06,-0.53,-0.536
526,1620295611704,0.05,-0.54,-0.581
527,1620295611704,0.02,-0.591,-0.57
528,1620295611704,-0.12,-0.542,-0.537
529,1620295611704,-0.02,-0.558,-0.565
530,1620295611704,-0.14,-0.545,-0.541
531,1620295611704,0.0,-0.545,-0.566
532,1620295611704,0.02,-0.586,-0.568
533,1620295611704,-0.13,-0.56,-0.536
534,1620295611705,0.01,-0.54,-0.573
535,1620295611705,-0.05,-0.561,-0.553
536,1620295611705,-0.03,-0.561,-0.566
537,1620295611705,0.02,-0.582,-0.58
538,1620295611705,-0.12,-0.558,-0.543
539,1620295611705,-0.02,-0.532,-0.557
540,1620295611705,-0.01,-0.577,-0.547
541,1620295611705,-0.07,-0.558,-0.557
542,1620295611705,0.06,-0.571,-0.595
543,1620295611705,-0.09,-0.563,-0.55
544,1620295611705,-0.07,-0.534,-0.554
545,1620295611705,-0.03,-0.572,-0.545
546,1620295611705,-0.06,-0.545,-0.548
547,1620295611705,0.07,-0.568,-0.589
548,1620295611705,-0.02,-0.584,-0.57
549,1620295611705,-0.07,-0.547,-0.554
550,1620295611705,-0.03,-0.565,-0.555
551,1620295611706,-0.12,-0.542,-0.533
552,1620295611706,0.01,-0.547,-0.573
553,1620295611706,0.02,-0.586,-0.576
554,1620295611706,-0.1,-0.555,-0.547
555,1620295611706,0.0,-0.548,-0.57
556,1620295611706,-0.1,-0.561,-0.555
557,1620295611706,-0.01,-0.551,-0.576
558,1620295611706,0.01,-0.583,-0.573
559,1620295611707,-0.09,-0.558,-0.538
560,1620295611707,-0.02,-0.53,-0.566
561,1620295611707,-0.07,-0.561,-0.548
562,1620295611707,-0.05,-0.547,-0.558
563,1620295611707,0.01,-0.582,-0.59
564,1620295611707,-0.06,-0.572,-0.548
565,1620295611707,-0.02,-0.537,-0.565
566,1620295611707,0.0,-0.572,-0.55
567,1620295611707,-0.09,-0.555,-0.546
568,1620295611707,0.06,-0.58,-0.592
569,1620295611707,-0.09,-0.566,-0.556
570,1620295611707,-0.09,-0.538,-0.545
571,1620295611707,-0.03,-0.565,-0.551
572,1620295611707,-0.1,-0.537,-0.528
573,1620295611707,0.07,-0.526,-0.561
574,1620295611707,-0.01,-0.574,-0.572
575,1620295611707,-0.07,-0.548,-0.555
576,1620295611707,-0.02,-0.563,-0.553
577,1620295611707,-0.12,-0.554,-0.535
578,1620295611707,0.02,-0.548,-0.568
579,1620295611707,0.01,-0.587,-0.573
580,1620295611708,-0.09,-0.562,-0.538
581,1620295611708,0.0,-0.546,-0.574
582,1620295611708,-0.1,-0.562,-0.552
583,1620295611708,-0.01,-0.545,-0.575
584,1620295611708,0.01,-0.586,-0.574
585,1620295611708,-0.09,-0.555,-0.543
586,1620295611709,-0.02,-0.541,-0.565
587,1620295611709,-0.03,-0.568,-0.554
588,1620295611709,-0.1,-0.54,-0.547
589,1620295611709,0.05,-0.58,-0.584
590,1620295611709,-0.07,-0.567,-0.556
591,1620295611709,-0.05,-0.544,-0.561
592,1620295611709,0.0,-0.562,-0.55
593,1620295611709,-0.07,-0.556,-0.545
594,1620295611710,0.09,-0.577,-0.587
595,1620295611710,-0.07,-0.577,-0.568
596,1620295611710,-0.09,-0.543,-0.544
597,1620295611710,-0.05,-0.564,-0.55
598,1620295611710,-0.07,-0.554,-0.54
599,1620295611715,0.08,-0.549,-0.585
600,1620295611775,0.0,-0.587,-0.573
